ShooterID,Solo,Fatalities,LocationCrimeRate,ServedMilitary,ServedLawEnforcement,Gender_Male,Ethnicity_White,Motive_Personal Target,Weapon_Handgun,WealthClass_Low,StatedReligion_Christian,EducationLevel_High School,Ethnicity_Black,Motive_Organizational Target,Weapon_Rifle,WealthClass_Middle,StatedReligion_Muslim,EducationLevel_Some College,Ethnicity_Hispanic,Motive_Religious,Weapon_Multiple,WealthClass_High,StatedReligion_Other,EducationLevel_Graduate
1,True,2,15.043038252718464,False,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False
2,False,2,9.233049431981426,False,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False
3,False,4,16.805191261552487,True,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False
4,True,2,13.38455103296251,False,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False
5,True,0,28.210075800681846,True,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False
6,True,0,25.04908544671317,False,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False
7,True,1,16.559248274111383,False,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False
8,False,1,31.262179026721544,False,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False
9,True,1,24.90882743495797,False,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False
10,False,3,18.37584308245689,False,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False
11,True,1,7.5029714256321345,False,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False
12,False,0,31.45471286295371,False,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False
13,False,5,13.05213766618202,False,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False
14,True,2,11.77300626521554,False,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False
15,True,1,25.112852160048202,False,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False
16,True,2,32.19876203169636,False,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False
17,True,2,26.92136409255259,False,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False
18,True,0,22.819545600261797,True,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False
19,True,1,22.97377170832643,False,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False
20,True,2,24.26707779390154,False,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False
21,True,1,23.794642948933827,True,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False
22,True,1,21.405957119846878,False,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False
23,True,0,20.52100551975938,True,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False
24,True,0,19.687034360502388,False,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False
25,True,2,16.23017705566662,False,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False
26,False,0,18.59662461566613,False,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False
27,True,0,11.535215929023073,False,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False
28,True,0,19.50830186602625,False,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False
29,True,0,15.057044464245413,False,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False
30,True,1,14.482053413921145,False,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False
31,True,2,20.899470755767393,False,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False
32,True,2,26.960011431722997,False,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False
33,True,3,24.591583030011563,False,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False
34,False,2,12.147496981884114,True,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False
35,False,2,15.051859317148313,False,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False
36,False,0,24.70385593994108,False,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False
37,True,1,15.087563032308452,False,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False
38,True,0,18.876834250014877,True,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False
39,True,0,22.75026049512276,True,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False
40,True,0,15.158277725681824,False,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False
41,True,0,20.5268775307298,False,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False
42,True,0,13.329872525408977,False,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False
43,True,1,16.99316178024393,False,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False
44,False,0,21.598909670712686,False,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False
45,True,2,12.035031332341653,False,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False
46,True,0,22.202373689801995,False,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False
47,True,0,19.901811005366593,False,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False
48,True,0,22.762449772085738,False,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False
49,True,0,21.119570670323306,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False
50,True,0,26.82070214986922,False,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False
51,False,0,20.626122513239537,False,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False
52,False,0,17.852972294373735,False,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False
53,False,0,20.611487515161418,False,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False
54,False,1,22.71649014518194,False,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False
55,True,0,20.24430035162852,False,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False
56,False,1,20.202958456019413,False,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False
57,True,0,16.490041560966223,False,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False
58,True,2,16.68549541224526,False,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False
59,True,2,12.986973641001534,False,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False
60,True,0,28.747883715934698,False,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False
61,True,2,13.780683823043574,True,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False
62,True,0,16.53547401102046,False,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False
63,False,1,16.40796367215401,False,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False
64,True,1,24.474621884722207,False,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False
65,True,1,18.52525160853986,False,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False
66,True,0,26.238710363368668,False,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False
67,True,0,16.63254687878066,False,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False
68,False,2,21.39497081111901,True,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False
69,True,1,15.823264733701214,False,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False
70,False,1,30.72574563886694,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False
71,False,0,14.062007904852436,False,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False
72,True,0,21.549103551135136,False,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False
73,True,1,23.168884404660492,False,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False
74,False,0,22.068995487257492,False,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False
75,False,0,19.073561705611457,False,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False
76,False,0,19.35089650133287,False,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False
77,False,0,20.219057359895547,False,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False
78,True,2,19.264989991857558,False,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False
79,True,2,24.819395583974547,True,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False
80,True,1,31.052615007956756,False,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False
81,False,1,17.212541074960832,False,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False
82,True,0,13.150985102104611,False,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False
83,True,0,19.558589758243727,False,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False
84,True,0,32.898546688271594,False,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False
85,True,2,15.981627160151346,False,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False
86,True,2,28.195584027220338,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False
87,False,0,28.388504070382204,False,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False
88,True,0,17.232058791460027,False,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False
89,False,0,22.844915395926378,True,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False
90,True,0,28.141983115642688,False,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False
91,True,0,18.104361295062564,True,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False
92,False,0,18.982098199488192,False,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False
93,False,0,17.09159543025678,False,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False
94,True,1,14.926216346535666,False,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False
95,False,1,16.753612274669965,False,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False
96,True,1,13.880298666188718,False,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False
97,True,2,20.17041734129613,False,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False
98,True,1,16.15013384470679,True,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False
99,True,0,21.16892955895374,False,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False
100,True,2,12.220521768981865,False,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False
101,True,1,21.654401161072286,False,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False
102,True,1,24.167644808044624,False,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False
103,True,0,10.031321787142723,False,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False
104,True,1,21.87028284923786,True,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False
105,False,0,26.13834496236646,True,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False
106,True,0,13.951794906543974,False,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False
107,True,1,28.362861934188516,False,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False
108,False,1,22.095095046830227,True,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False
109,True,1,16.474940721207957,False,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False
110,True,0,19.72115461171147,False,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False
111,True,0,22.79163456260861,False,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False
112,True,0,20.380026957062057,False,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False
113,False,0,22.693779962231847,True,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False
114,False,1,15.396632034603169,False,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False
115,True,1,20.84680412018039,False,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False
116,False,2,12.9314275154751,True,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False
117,False,1,19.4438696932565,True,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False
118,True,0,15.480461792676051,False,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False
119,False,3,16.322350287051165,False,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False
120,True,2,26.18046587605219,False,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False
121,False,0,25.456550602971344,False,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False
122,False,2,23.045690604535885,False,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False
123,True,0,14.538436176637106,False,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False
124,True,1,18.41795775152599,False,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False
125,True,0,26.065488499895917,False,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False
126,True,0,20.708584568199523,False,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False
127,False,2,31.596647699908473,False,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False
128,False,0,21.96658919697186,False,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False
129,True,1,20.960245582450156,False,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False
130,True,1,18.454417678987493,False,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False
131,True,1,20.66770452391141,False,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False
132,True,0,19.23765081809728,False,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False
133,True,2,23.54054338344295,False,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False
134,True,1,24.78351158397292,False,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False
135,False,2,16.070052697460252,False,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False
136,True,0,13.34383523221111,False,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False
137,True,2,10.818973134483517,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False
138,False,0,22.539956634562717,False,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False
139,True,2,14.483166969130632,False,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False
140,False,2,9.235547035237586,False,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False
141,False,0,21.942893022654822,False,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False
